train_id,corridor_id,day,departure_time,arrival_time,train_type
T112,C3,Mon,14:00,15:00,Express
T113,C3,Mon,19:00,20:00,Passenger
T114,C3,Tue,06:30,07:30,Express
T115,C3,Tue,10:00,11:00,Passenger
T116,C3,Tue,14:00,15:00,Express
T117,C3,Tue,19:00,20:00,Passenger
T118,C3,Wed,06:30,07:30,Express
T119,C3,Wed,10:00,11:00,Passenger
T120,C3,Wed,14:00,15:00,Express
T121,C3,Wed,19:00,20:00,Passenger
T122,C3,Thu,06:30,07:30,Express
T123,C3,Thu,10:00,11:00,Passenger
T124,C3,Thu,14:00,15:00,Express
T125,C3,Thu,19:00,20:00,Passenger
T126,C3,Fri,06:30,07:30,Express
T127,C3,Fri,10:00,11:00,Passenger
T128,C3,Fri,14:00,15:00,Express
T129,C3,Fri,19:00,20:00,Passenger
T130,C3,Sat,08:00,09:00,Passenger
T131,C3,Sat,15:00,16:00,Express
T132,C3,Sun,08:00,09:00,Passenger
T133,C3,Sun,15:00,16:00,Express
T134,C5,Mon,07:00,08:00,Passenger
T135,C5,Mon,12:00,13:00,Express
T136,C5,Mon,17:00,18:00,Passenger
T137,C5,Tue,07:00,08:00,Passenger
T138,C5,Tue,12:00,13:00,Express
T139,C5,Tue,17:00,18:00,Passenger
T140,C5,Wed,07:00,08:00,Passenger
T141,C5,Wed,12:00,13:00,Express
T142,C5,Wed,17:00,18:00,Passenger
T143,C5,Thu,07:00,08:00,Passenger
T144,C5,Thu,12:00,13:00,Express
T145,C5,Thu,17:00,18:00,Passenger
T146,C5,Fri,07:00,08:00,Passenger
T147,C5,Fri,12:00,13:00,Express
T148,C5,Fri,17:00,18:00,Passenger
T149,C5,Sat,09:00,10:00,Passenger
T150,C5,Sat,16:00,17:00,Express
T151,C5,Sun,09:00,10:00,Passenger
T152,C5,Sun,16:00,17:00,Express
